locId,locName,countryCode,subnational1Code,lat,lng,latestObsDt,numSpeciesAllTime
L8685037,Platres,CY,CY-02,34.889606,32.8671702,2022-12-14 14:48,55
L8677715,Polis Bay,CY,CY-05,35.0448949,32.4232315,2022-10-08 09:50,126
L4807495,Polis Camping Site (Κατασκηνωτικός Χώρος Πόλης Χρυσοχούς),CY,CY-05,35.0430679,32.4209547,2022-09-24 07:50,113
L1122871,Polis Crysochous (Πόλη Χρυσοχούς),CY,CY-05,35.0349,32.4263,2022-10-24 12:22,63
L4802222,Polis Crysochous (Πόλη Χρυσοχούς) wetlands,CY,CY-05,35.0298558,32.4259973,2022-07-19 19:50,58
L6752117,Potima (Πότιμα) Bay and Beach,CY,CY-05,34.8412496,32.3872418,2023-02-07 14:14,63
L21533961,Prodromos Reservoir / Φράγμα Προδρόμου,CY,CY-01,34.9488618,32.8450283,1999-11-14 08:30,20
L8679639,Psilo Dendron trout farm,CY,CY-02,34.8956992,32.8685403,2022-08-01 11:00,29
L9537311,Pyrga (Πυργά) Quarry (Restricted access),CY,CY-03,34.9090913,33.4432411,2020-03-24 13:03,8
L4856086,Sadrazamköy Trail,CY,CY-06,35.3911444,32.9426515,2022-05-01 07:03,28
L5120780,Salamis Archaeological Site,CY,CY-04,35.1855152,33.9010942,2022-08-08 11:43,28
L7221256,Salamis Bay Conti Hotel,CY,CY-04,35.2046022,33.8982725,2018-04-12 08:30,20
L1323226,Sanctuary of Apollo,CY,CY-02,34.6725174,32.8646779,2022-07-27 07:57,54
L18712189,Saranti / Σαράντι,CY,CY-01,34.968244,32.990356,2022-04-26 17:40,8
L6194473,Secret Valley,CY,CY-05,34.6948734,32.6150823,2023-02-22 09:20,99
L8677356,Silver Beach,CY,CY-04,35.1699013,33.9084827,2023-01-22 16:00,41
L2391067,Smiyies track,CY,CY-05,35.0238816,32.334137,2022-07-15 08:36,98
L22935026,Sotira Pools / Σωτήρα Λιμνούλες,CY,CY-04,35.0275694,33.9664435,2011-09-14 00:00,1
L4807521,Souskiou (Σουσκιού) Deserted Village,CY,CY-05,34.7382975,32.6137304,2019-06-22 00:00,30
L6194517,Spiro's Pool,CY,CY-03,34.8661232,33.6373687,2023-02-28 11:15,150
L8718495,Spyros Beach,CY,CY-03,34.8721647,33.6372146,2023-02-09 09:55,91
L6360843,St Minas Chapel (Ξωκλήσι Αγίου Μηνά),CY,CY-05,35.0241627,32.3403597,2022-04-03 13:19,71
L1323200,St. Hilarion Castle,CY,CY-06,35.3120873,33.2813001,2023-02-11 08:28,46
L5660796,Stavros tis Psokas (Σταυρός της Ψώκας) Mouflon Enclosure,CY,CY-01,35.027074,32.6312399,2023-02-25 13:30,23
L17045935,Stazousa Valley / Στάζουσα,CY,CY-03,34.9025288,33.4911057,2023-02-13 09:30,16
L9205773,Sygkrasi Dam,CY,CY-04,35.2821111,33.8527006,2020-03-05 12:00,38
L11329762,Tala Tracks,CY,CY-05,34.8503348,32.4221194,2021-05-08 09:00,27
L5664157,Tamassos Reservoir (Φράγμα Ταμασσού),CY,CY-01,35.0104684,33.2479334,2022-07-28 08:22,32
L8678042,Theletra Gorge,CY,CY-05,34.9090131,32.4580307,2022-09-09 17:15,42
