British (English) vernacular name,IOC World Bird List international English name,Scientific name,Category,Codes,† BBRC species,‡ BBRC subspecies,SEQ
Leach's Petrel,Leach's Storm Petrel,Hydrobates leucorhous,AF,,,,2670
Fulmar,Northern Fulmar,Fulmarus glacialis,AF,,,,2680
Zino's Petrel,,Pterodroma madeira,A,†,,,2685
Black-capped Petrel,,Pterodroma hasitata,A,†,,,2690
White-chinned Petrel,,Procellaria aequinoctialis,A,†,,,2700
Scopoli's Shearwater,,Calonectris diomedea,A,†,,,2710
Cory's Shearwater,,Calonectris borealis,AF,,,,2720
Sooty Shearwater,,Ardenna grisea,AF,,,,2730
Great Shearwater,,Ardenna gravis,A,,,,2740
Manx Shearwater,,Puffinus puffinus,AF,,,,2750
Yelkouan Shearwater,,Puffinus yelkouan,A,†,,,2760
Balearic Shearwater,,Puffinus mauretanicus,A,,,,2770
Barolo Shearwater,,Puffinus baroli,A,†,,,2780
Black Stork,,Ciconia nigra,AEF,†,,,2790
White Stork,,Ciconia ciconia,AEF,,,,2800
Ascension Frigatebird,,Fregata aquila,A,†,,,2810
Magnificent Frigatebird,,Fregata magnificens,A,†,,,2820
Gannet,Northern Gannet,Morus bassanus,AF,,,,2830
Red-footed Booby,,Sula sula,A,†,,,2840
Brown Booby,,Sula leucogaster,A,†,,,2850
Cormorant,Great Cormorant,Phalacrocorax carbo,AF,,,,2860
Shag,European Shag,Gulosus aristotelis,AF,,,,2870
Double-crested Cormorant,,Nannopterum auritum,AE,†,,,2880
Glossy Ibis,,Plegadis falcinellus,AE,,,,2890
Spoonbill,Eurasian Spoonbill,Platalea leucorodia,AEF,,,,2900
Bittern,Eurasian Bittern,Botaurus stellaris,AF,,,,2910
American Bittern,,Botaurus lentiginosus,A,†,,,2920
Least Bittern,,Ixobrychus exilis,A,†,,,2925
Little Bittern,,Ixobrychus minutus,A,†,,,2930
Night-heron,Black-crowned Night Heron,Nycticorax nycticorax,AE*F,,,,2940
Green Heron,,Butorides virescens,A,†,,,2950
Squacco Heron,,Ardeola ralloides,A,†,,,2960
Chinese Pond Heron,,Ardeola bacchus,A,†,,,2970
Cattle Egret,Western Cattle Egret,Bubulcus ibis,AE,,,,2980
Grey Heron,,Ardea cinerea,AF,,,,2990
Great Blue Heron,,Ardea herodias,A,†,,,3000
Purple Heron,,Ardea purpurea,A,,,,3010
Great White Egret,Great Egret,Ardea alba,A,,,,3020
Snowy Egret,,Egretta thula,A,†,,,3030
Little Egret,,Egretta garzetta,AF,,,,3040
Dalmatian Pelican,,Pelecanus crispus,AF,†,,,3050
Osprey,,Pandion haliaetus,AE*F,,,,3060
Egyptian Vulture,,Neophron percnopterus,BDE,†,,,3070
Honey-buzzard,European Honey Buzzard,Pernis apivorus,A,,,,3080
Short-toed Eagle,Short-toed Snake Eagle,Circaetus gallicus,A,†,,,3090
Spotted Eagle,Greater Spotted Eagle,Clanga clanga,B,†,,,3100
Golden Eagle,,Aquila chrysaetos,AEF,,,,3110
Sparrowhawk,Eurasian Sparrowhawk,Accipiter nisus,AF,,,,3120
Goshawk,Eurasian Goshawk,Accipiter gentilis,AC3E*F,,,,3130
Marsh Harrier,Western Marsh Harrier,Circus aeruginosus,AF,,,,3140
Hen Harrier,,Circus cyaneus,AF,,,,3150
Northern Harrier,,Circus hudsonius,A,†,,,3160
Pallid Harrier,,Circus macrourus,A,†,,,3170
Montagu's Harrier,,Circus pygargus,AF,,,,3180
Red Kite,,Milvus milvus,AC3E*F,,,,3190
Black Kite,,Milvus migrans,AE,,,,3200
White-tailed Eagle,,Haliaeetus albicilla,AC3E*F,,,,3210
Rough-legged Buzzard,,Buteo lagopus,AEF,,,,3220
Long-legged Buzzard,,Buteo rufinus,A,†,,,3225
Buzzard,Common Buzzard,Buteo buteo,AE*F,,,,3230
Barn Owl,Western Barn Owl,Tyto alba,AE*F,‡,,,3240
Tengmalm's Owl,Boreal Owl,Aegolius funereus,AF,†,,,3250
Little Owl,,Athene noctua,C1E*F,,,,3260
Hawk Owl,Northern Hawk-Owl,Surnia ulula,AF,†,,,3270
Scops Owl,Eurasian Scops Owl,Otus scops,A,†,,,3280
Long-eared Owl,,Asio otus,AF,,,,3290
Short-eared Owl,,Asio flammeus,AF,,,,3300
Snowy Owl,,Bubo scandiacus,AEF,†,,,3310
Tawny Owl,,Strix aluco,AF,,,,3320
Hoopoe,Eurasian Hoopoe,Upupa epops,AE,,,,3330
Roller,European Roller,Coracias garrulus,A,†,,,3340
Kingfisher,Common Kingfisher,Alcedo atthis,AF,,,,3350
Belted Kingfisher,,Megaceryle alcyon,A,†,,,3360
Blue-cheeked Bee-eater,,Merops persicus,A,†,,,3370
Bee-eater,European Bee-eater,Merops apiaster,A,,,,3380
Wryneck,Eurasian Wryneck,Jynx torquilla,AF,,,,3390
Yellow-bellied Sapsucker,,Sphyrapicus varius,A,†,,,3400
Lesser Spotted Woodpecker,,Dryobates minor,AF,,,,3410
Great Spotted Woodpecker,,Dendrocopos major,AF,,,,3420
Green Woodpecker,European Green Woodpecker,Picus viridis,AF,,,,3430
Lesser Kestrel,,Falco naumanni,A,†,,,3440
Kestrel,Common Kestrel,Falco tinnunculus,AF,,,,3450
American Kestrel,,Falco sparverius,AE,†,,,3460
Red-footed Falcon,,Falco vespertinus,A,,,,3470
Amur Falcon,,Falco amurensis,AE,†,,,3480
Eleonora's Falcon,,Falco eleonorae,A,†,,,3490
Merlin,,Falco columbarius,AF,‡,,,3500
Hobby,Eurasian Hobby,Falco subbuteo,AF,,,,3510
Gyr Falcon,Gyrfalcon,Falco rusticolus,AEF,†,,,3520
Peregrine,Peregrine Falcon,Falco peregrinus,AEF,,,,3530
Ring-necked Parakeet,Rose-ringed Parakeet,Psittacula krameri,C1E*,,,,3540
Eastern Phoebe,,Sayornis phoebe,A,†,,,3550
Yellow-bellied Flycatcher,,Empidonax flaviventris,A,†,,,3560
Acadian Flycatcher,,Empidonax virescens,A,†,,,3570
Alder Flycatcher,,Empidonax alnorum,A,†,,,3580
Eastern Kingbird,,Tyrannus tyrannus,A,†,,,3590
Great Grey Shrike,,Lanius excubitor,AEF,‡,,,3600
Masked Shrike,,Lanius nubicus,A,†,,,3610
Lesser Grey Shrike,,Lanius minor,A,†,,,3620
Woodchat Shrike,,Lanius senator,A,‡,,,3630
Daurian Shrike,Isabelline Shrike,Lanius isabellinus,A,†,,,3640
Red-backed Shrike,,Lanius collurio,AF,,,,3650
Turkestan Shrike,Red-tailed Shrike,Lanius phoenicuroides,A,†,,,3660
Brown Shrike,,Lanius cristatus,A,†,,,3670
Long-tailed Shrike,,Lanius schach,A,†,,,3680
Red-eyed Vireo,,Vireo olivaceus,A,†,,,3690
Philadelphia Vireo,,Vireo philadelphicus,A,†,,,3700
Yellow-throated Vireo,,Vireo flavifrons,A,†,,,3710
Golden Oriole,Eurasian Golden Oriole,Oriolus oriolus,A,,,,3720
Jay,Eurasian Jay,Garrulus glandarius,AF,,,,3730
Magpie,Eurasian Magpie,Pica pica,AF,,,,3740
Nutcracker,Spotted Nutcracker,Nucifraga caryocatactes,AF,†,,,3750
Chough,Red-billed Chough,Pyrrhocorax pyrrhocorax,AE*F,,,,3760
Jackdaw,Western Jackdaw,Coloeus monedula,AF,,,,3770
Rook,,Corvus frugilegus,AF,,,,3780
Carrion Crow,,Corvus corone,AF,,,,3790
Hooded Crow,,Corvus cornix,AF,,,,3800
Raven,Northern Raven,Corvus corax,AF,,,,3810
Waxwing,Bohemian Waxwing,Bombycilla garrulus,AEF,,,,3820
Cedar Waxwing,,Bombycilla cedrorum,AE,†,,,3830
Coal Tit,,Periparus ater,AF,,,,3840
Crested Tit,,Lophophanes cristatus,A,‡,,,3850
Marsh Tit,,Poecile palustris,A,,,,3860
Willow Tit,,Poecile montanus,A,‡,,,3870
Blue Tit,Eurasian Blue Tit,Cyanistes caeruleus,AF,,,,3880
Great Tit,,Parus major,AF,,,,3890
Penduline Tit,Eurasian Penduline Tit,Remiz pendulinus,A,,,,3900
Bearded Tit,Bearded Reedling,Panurus biarmicus,A,,,,3910
Woodlark,,Lullula arborea,AF,,,,3920
White-winged Lark,,Alauda leucoptera,A,†,,,3930
Skylark,Eurasian Skylark,Alauda arvensis,AF,,,,3940
Crested Lark,,Galerida cristata,AEF,†,,,3950
Shore Lark,Horned Lark,Eremophila alpestris,AF,‡,,,3960
Short-toed Lark,Greater Short-toed Lark,Calandrella brachydactyla,A,,,,3970
Bimaculated Lark,,Melanocorypha bimaculata,A,†,,,3980
Calandra Lark,,Melanocorypha calandra,A,†,,,3990
Black Lark,,Melanocorypha yeltoniensis,A,†,,,4000
Mediterranean Short-toed Lark,,Alaudala rufescens,A,†,,,4010
Sand Martin,,Riparia riparia,AF,,,,4020
Tree Swallow,,Tachycineta bicolor,A,†,,,4030
Purple Martin,,Progne subis,A,†,,,4040
Crag Martin,Eurasian Crag Martin,Ptyonoprogne rupestris,AF,†,,,4050
Swallow,Barn Swallow,Hirundo rustica,AEF,,,,4060
House Martin,Western House Martin,Delichon urbicum,AF,,,,4070
Red-rumped Swallow,,Cecropis daurica,A,‡,,,4080
American Cliff Swallow,,Petrochelidon pyrrhonota,A,†,,,4090
Cetti's Warbler,,Cettia cetti,A,,,,4100
Long-tailed Tit,,Aegithalos caudatus,AF,‡,,,4110
Wood Warbler,,Phylloscopus sibilatrix,A,,,,4120
Western Bonelli's Warbler,,Phylloscopus bonelli,A,†,,,4130
Eastern Bonelli's Warbler,,Phylloscopus orientalis,A,†,,,4140
Hume's Warbler,Hume's Leaf Warbler,Phylloscopus humei,A,†,,,4150
